	PID/THRD  SYSCALL(args) 		 = return
95400/0x2394fc:  fork()		 = 0 Err#1
95400/0x2394fc:  proc_info(0xF, 0x174A8, 0x0)		 = 0 0
95400/0x2394fc:  fsgetpath(0x16F18AD28, 0x400, 0x16F18AD20)		 = 82 0
95400/0x2394fc:  kdebug_trace_string(0x1F050028, 0x0, 0x16F18AD28)		 = 90926387 0
95400/0x2394fc:  kdebug_trace64(0x1F050028, 0xF03F0CC03133CD34, 0xDF4D7F74070540B4, 0x19FAAC000, 0x100000A)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F05002C, 0x14E772, 0x70AC0000056B6D33, 0x0, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050028, 0x70AC0000056B6D33, 0x0)		 = 90926387 0
95400/0x2394fc:  kdebug_typefilter(0x16F18B0D8, 0x16F18B0D0, 0x0)		 = 0 0
95400/0x2394fc:  thread_selfid(0x0, 0x0, 0x0)		 = 2331900 0
95400/0x2394fc:  crossarch_trap(0x0, 0x0, 0x0)		 = -1 Err#45
95400/0x2394fc:  csrctl(0x0, 0x16F18AFDC, 0x4)		 = -1 Err#1
95400/0x2394fc:  crossarch_trap(0x0, 0x0, 0x0)		 = -1 Err#45
95400/0x2394fc:  fsgetpath(0x16F18B350, 0x400, 0x16F18B228)		 = 14 0
95400/0x2394fc:  shared_region_check_np(0x16F18B340, 0x0, 0x0)		 = 0 0
95400/0x2394fc:  getpid(0x0, 0x0, 0x0)		 = 95400 0
95400/0x2394fc:  kdebug_trace_string(0x1F050014, 0x0, 0x16F18B350)		 = 90926388 0
95400/0x2394fc:  kdebug_trace64(0x1F050014, 0x233D4BB828E773C2, 0x6D5CB8EE4FDE2BB1, 0x100DC8000, 0x1A0100000B)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050018, 0xFFFFFFF000A6EE7, 0x70AC0000056B6D34, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050014, 0x70AC0000056B6D34, 0x0)		 = 90926388 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x19FC4337B)		 = 90926389 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x233D4BB828E773C2, 0x6D5CB8EE4FDE2BB1, 0x19FBB5000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D35, 0xFFFFFFFF80000002, 0x0)		 = 0 0
